Disney_Period,Text,Speaker_Status,Movie,Speaker,Year,UTTERANCE_NUMBER
EARLY,slave in the magic mirror come from the farthest space through wind and darkness i summon thee. speak ! let me see thy face. ,NON-P,Snow White ,queen,1937,1
EARLY,"what wouldst thou know, my queen ? ",NON-P,Snow White ,mirror,1937,2
EARLY,"magic mirror on the wall, who is the fairest one of all ? ",NON-P,Snow White ,queen,1937,3
EARLY,"famed is thy beauty, majesty. but hold, a lovely maid i see. rags cannot hide her gentle grace. alas, she is more fair than thee. ",NON-P,Snow White ,mirror,1937,4
EARLY,alas for her ! reveal her name. ,NON-P,Snow White ,queen,1937,5
EARLY,lips red as the rose. hair black as ebony. skin white as snow. ,NON-P,Snow White ,mirror,1937,6
EARLY,snow white ! ,NON-P,Snow White ,queen,1937,7
EARLY,"want to know a secret ? promise not to tell ? we are standing by a wishing well make a wish into the well that's all you have to do and if you hear it echoing your wish will soon come true i'm wishing i'm wishing for the one i love to find me to find me today today i'm hoping i'm hoping and i'm dreaming of the nice things the nice things he'll say he'll say ahahahahahh ahahahahahh ahahahahahh ah, ah, ah, ah, ahh i'm wishing i'm wishing for the one i love to find me to find me today ",PRINCESS,Snow White ,snow white,1937,8
EARLY,today ,PRINCE,Snow White ,prince,1937,9
EARLY,oh ! ,PRINCESS,Snow White ,snow white,1937,10
EARLY,hello. ,PRINCE,Snow White ,prince,1937,11
EARLY,oh. ,PRINCESS,Snow White ,snow white,1937,12
EARLY,"did i frighten you ? wait. wait, please. don't run away. now that i've found you hear what i have to say one song i have but one song one song only for you one heart tenderly beating ever entreating constant and true one love that has possessed me one love thrilling me through one song my heart keeps singing of one love only for you ",PRINCE,Snow White ,prince,1937,13
EARLY,take her far into the forest. find some secluded glade where she can pick wildflowers. ,NON-P,Snow White ,queen,1937,14
EARLY,"yes, your majesty. ",NON-P,Snow White ,guard,1937,15
EARLY,"and there, my faithful huntsman, you will kill her ! ",NON-P,Snow White ,queen,1937,16
EARLY,"but, your majesty, the little princess ! ",NON-P,Snow White ,guard,1937,17
EARLY,silence ! you know the penalty if you fail. ,NON-P,Snow White ,queen,1937,18
EARLY,"yes, your majesty. ",NON-P,Snow White ,guard,1937,19
EARLY,"but to make doubly sure... you do not fail, bring back her heart... ",NON-P,Snow White ,queen,1937,20
EARLY,one song i have but one song ,PRINCESS,Snow White ,snow white,1937,21
EARLY,"hello there. what's the matter ? where's your mama and papa ? why, i believe you're lost. oh, please, don't cry. come on. perk up. won't you smile for me ? that's better. your mama and papa can't be far. there they are. can you fly ? goodbye. goodbye ! ",PRINCESS,Snow White ,snow white,1937,22
EARLY,"i can't ! i can't do it ! forgive me. i beg of your highness, forgive me. ",NON-P,Snow White ,guard,1937,23
EARLY,i don't understand. ,PRINCESS,Snow White ,snow white,1937,24
EARLY,she's mad! jealous of you! she'll stop at nothing ! ,NON-P,Snow White ,guard,1937,25
EARLY,butbut who ? ,PRINCESS,Snow White ,snow white,1937,26
EARLY,the queen! ,NON-P,Snow White ,guard,1937,27
EARLY,the queen ? ,PRINCESS,Snow White ,snow white,1937,28
EARLY,"now, quick, child, run! run away, hide! in the woods ! anywhere ! never come back ! now, go ! go ! go ! run ! run ! hide ! ",NON-P,Snow White ,guard,1937,29
EARLY,"oh! please, don't run away. i won't hurt you. i'm awfully sorry. i didn't mean to frighten you. but you don't know what i've been through. and all because i was afraid. i'm so ashamed of the fuss i've made. what do you do when things go wrong ? ",PRINCESS,Snow White ,snow white,1937,30
EARLY,"oh ! you sing a song ! ahahahahahh with a smile and a song life is just like a bright, sunny day your cares fade away and your heart is ",PRINCESS,Snow White ,snow white,1937,31
EARLY,with a smile and a song all the world seems to waken anew rejoicing with you as the song is sung there's no use in grumbling when raindrops come tumbling ,PRINCESS,Snow White ,snow white,1937,32
EARLY,remember you're the one who can fill the world with sunshine when you smile and you sing everything is in tune and it's spring and life flows along ,PRINCESS,Snow White ,snow white,1937,33
EARLY,with a smile and a song ,PRINCESS,Snow White ,snow white,1937,34
EARLY,i really feel quite happy now. i'm sure i'll get along somehow. everything's going to be all right. but i do need a place to sleep at night. ,PRINCESS,Snow White ,snow white,1937,35
EARLY,i can't sleep in the ground like you. or in a tree the way you do. and i'm sure no nest would possibly be big enough for me. maybe you know where i can stay. in the woods somewhere ? ,PRINCESS,Snow White ,snow white,1937,36
EARLY,you do ? ,PRINCESS,Snow White ,snow white,1937,37
EARLY,"will you take me there ? oh, it's adorable. just like a doll's house. i like it here. ooh, it's dark inside. guess there's no one home. ",PRINCESS,Snow White ,snow white,1937,38
EARLY,"hello ? may i come in ? shh. oh! what a cute little chair. why, there's seven little chairs. must be seven little children. and from the look of this table, seven untidy little children. a pickax. a stocking too. ",PRINCESS,Snow White ,snow white,1937,39
EARLY,and a shoe. ,PRINCESS,Snow White ,snow white,1937,40
